DATE;IBM;ORACLE;INTEL;APPLE;MICROSOFT
01.05.2013;172.42;31.079;20.659;57.087;28.887
02.05.2013;174.79;31.578;20.763;57.897;29.275
03.05.2013;176.61;31.288;20.827;58.475;29.569
06.05.2013;175.13;31.408;20.785;59.87;29.794
07.05.2013;175.87;31.174;20.99;59.604;29.41
08.05.2013;177.71;31.361;21.079;60.277;29.127
09.05.2013;176.36;31.585;21.176;59.751;28.834
10.05.2013;177.42;31.887;21.297;59.255;28.862
13.05.2013;175.68;31.662;20.931;59.488;29.163
14.05.2013;176.33;31.561;20.723;58.064;29.809
15.05.2013;176.43;31.858;21.037;56.098;30.096
16.05.2013;177.59;32.216;20.81;56.849;30.03
17.05.2013;180.87;32.833;20.897;56.674;31.001
20.05.2013;180.13;32.71;20.931;57.94;31.187
21.05.2013;181.04;32.899;20.99;57.512;30.984
22.05.2013;179.6;31.979;20.924;57.733;30.768
23.05.2013;178.87;32.083;20.906;57.837;30.36
24.05.2013;178.52;31.914;20.793;58.233;30.468
28.05.2013;180.29;32.363;20.931;57.743;31.135
29.05.2013;180.41;32.242;21.096;58.204;31.009
30.05.2013;181.68;32.187;21.047;59.072;31.144
31.05.2013;180.49;31.662;21.01;58.83;31.032
03.06.2013;181.3;32.234;21.94;58.96;31.641
04.06.2013;178.9;32.018;22.043;58.777;31.107
05.06.2013;175.92;31.979;21.47;58.227;30.921
06.06.2013;176.83;31.259;21.427;57.355;31.081
07.06.2013;179.03;31.688;21.373;57.794;31.713
10.06.2013;177.88;31.914;21.741;57.413;31.536
11.06.2013;177;31.464;21.478;57.24;30.974
12.06.2013;174.58;31.416;21.26;56.536;31.117
13.06.2013;176.8;32.102;21.724;57.027;30.868
14.06.2013;175.46;31.653;21.662;56.254;30.583
17.06.2013;176.18;32.12;21.818;56.51;31.117
18.06.2013;177.75;32.242;22.139;56.48;31.098
19.06.2013;175.21;31.953;21.732;55.334;30.754
20.06.2013;171.22;31.127;21.018;54.528;29.774
21.06.2013;169.59;28.25;21.027;54.093;29.571
24.06.2013;167.95;28.278;20.497;52.656;29.979
25.06.2013;169.18;28.081;20.758;52.668;29.935
26.06.2013;169.08;28.25;20.862;52.07;30.539
27.06.2013;169.77;28.541;20.906;51.511;30.778
28.06.2013;166.71;28.877;21.258;52.174;30.71
01.07.2013;165.99;28.22;20.767;53.532;30.549
02.07.2013;166.17;28.211;20.618;54.743;30.172
03.07.2013;167.67;28.775;20.653;55.046;30.236
05.07.2013;169.15;29.232;20.915;54.603;30.416
08.07.2013;169.18;29.664;20.148;54.295;30.52
09.07.2013;165.99;29.537;20.115;55.248;30.539
10.07.2013;166.8;29.385;20.211;55.037;30.851
11.07.2013;167.29;29.976;20.853;55.895;31.73
12.07.2013;166.65;29.401;20.775;55.792;31.713
15.07.2013;168.32;30.115;20.81;55.915;32.158
16.07.2013;168.21;30.108;21.079;56.275;32.244
17.07.2013;168.8;30.259;20.99;56.29;31.775
18.07.2013;171.79;30.115;20.203;56.478;31.508
19.07.2013;167.95;29.976;20.025;55.587;27.916
22.07.2013;168.41;29.986;19.794;55.766;28.458
23.07.2013;169.18;30.173;19.776;54.809;28.29
24.07.2013;170.6;30.476;19.932;57.624;28.413
25.07.2013;171.13;30.456;20.045;57.36;27.906
26.07.2013;171.22;30.614;20.219;57.69;28.112
29.07.2013;170.24;30.559;20.203;58.577;28.039
30.07.2013;170.07;30.624;20.323;59.3;28.315
31.07.2013;169.23;30.436;20.279;59.195;28.307
01.08.2013;169.91;30.812;20.166;59.739;28.156
02.08.2013;169.34;30.644;20.185;60.506;28.352
05.08.2013;169.63;30.842;20.118;61.41;28.181
06.08.2013;165.7;31.05;20.012;60.86;28.077
07.08.2013;164.43;30.879;19.925;60.824;28.503
08.08.2013;163.88;31.066;19.706;60.705;29.241
09.08.2013;163.78;30.974;19.756;59.841;29.071
12.08.2013;164.9;31.285;19.871;61.538;29.223
13.08.2013;164.32;31.285;19.766;64.464;28.856
14.08.2013;163.54;31.585;19.811;65.641;28.965
15.08.2013;162.01;30.794;19.336;65.561;28.462
16.08.2013;161.64;30.496;19.24;66.143;28.471
19.08.2013;160.67;30.163;19.557;66.857;28.105
20.08.2013;160.93;30.296;19.766;65.981;28.309
21.08.2013;161.2;30.39;19.46;66.147;28.301
22.08.2013;161.51;30.486;19.54;66.23;28.999
23.08.2013;161.7;29.89;19.697;65.974;31.112
26.08.2013;161.08;30.427;19.549;66.23;30.575
27.08.2013;159.35;29.899;19.475;64.333;29.777
28.08.2013;158.85;29.789;19.557;64.642;29.566
29.08.2013;159.26;29.826;19.363;64.744;30.037
30.08.2013;159.79;30.072;19.472;64.529;29.902
03.09.2013;160.44;30.121;19.37;64.332;28.543
04.09.2013;159.69;30.406;19.871;65.665;27.925
05.09.2013;160.61;30.349;19.838;65.216;27.971
06.09.2013;159.61;30.296;19.898;65.603;27.888
09.09.2013;161.31;30.812;20.109;66.649;28.346
10.09.2013;162.72;30.915;20.181;65.131;28.999
11.09.2013;166.3;31.066;20.02;61.586;29.314
12.09.2013;166.33;30.851;19.865;62.244;29.268
13.09.2013;167.57;30.538;20.573;61.216;29.573
16.09.2013;168.43;31.023;20.532;59.27;29.367
17.09.2013;167.56;31.294;20.838;59.954;29.48
18.09.2013;169.55;31.868;20.979;61.187;29.833
19.09.2013;168.63;31.887;20.994;62.189;30.119
20.09.2013;165.68;32.039;20.864;61.544;29.357
23.09.2013;166.55;31.933;20.732;64.607;29.314
24.09.2013;165.64;31.651;20.812;64.404;29.06
25.09.2013;165.22;31.868;20.802;63.407;29.107
26.09.2013;165.88;31.815;20.549;64.024;29.337
27.09.2013;163;31.785;20.171;63.566;29.786
30.09.2013;162.34;31.309;20.308;63.144;29.794
01.10.2013;162.54;31.52;20.039;64.254;30.063
02.10.2013;161.29;31.688;20.092;64.463;30.367
03.10.2013;160.34;31.276;19.838;63.652;30.315
04.10.2013;160.57;31.359;20.02;63.602;30.333
07.10.2013;158.72;31.012;20.039;64.224;29.813
08.10.2013;155.86;30.565;19.73;63.328;29.557
09.10.2013;158.11;30.397;19.829;64.074;29.609
10.10.2013;161.11;31.151;20.276;64.474;30.226
11.10.2013;162.33;31.407;20.409;64.89;30.558
14.10.2013;163.05;31.424;20.581;65.318;30.844
